datetime_utc,event,btc_price,net_pnl,wallet,hodl_value,bot_pct,hodl_pct,drawdown_pct,exit_reason
2026-07-13 09:27:27,trade_closed,63119.0,-7.3939,993.0561,989.6362,-0.694,-1.036,-0.694,stop_loss
2026-07-23 03:16:08,trade_closed,65586.0,-7.3426,986.1603,992.4341,-1.384,-0.757,-1.384,stop_loss
2026-07-24 13:11:08,trade_closed,64393.0,-11.0612,975.5428,989.611,-2.446,-1.039,-2.446,stop_loss
2026-07-27 06:11:18,trade_closed,65582.0,17.6127,993.5945,1018.9711,-0.641,1.897,-0.641,target_reached
2026-07-31 14:06:09,trade_closed,62897.0,-15.7845,978.2571,983.3495,-2.174,-1.665,-2.174,stop_loss
2026-08-07 11:26:09,trade_closed,65096.0,33.9506,1012.6479,1035.637,1.265,3.564,0.0,target_reached
2026-08-10 16:21:15,trade_closed,64067.0,-13.5993,999.5043,987.3931,-0.05,-1.261,-1.298,stop_loss
2026-08-13 16:41:20,trade_closed,62980.0,-15.8784,984.0756,984.8011,-1.592,-1.52,-2.822,stop_loss
2026-08-19 15:01:25,trade_closed,65974.0,37.7421,1022.2605,1039.288,2.226,3.929,0.0,target_reached
2026-08-21 01:26:07,trade_closed,74529.0,75.7805,1098.5011,1075.0977,9.85,7.51,0.0,target_reached
2026-08-22 05:11:07,trade_closed,76741.0,-17.4511,1081.5443,979.0516,8.154,-2.095,-1.544,stop_loss
